Russian,Polish
Хороший (Это очень хорошая идея),Dobry (To jest bardzo dobry pomysł)
Это (Это мой дом),To (To jest mój dom)
Мочь (Могу я тебе помочь?),Móc (Czy mogę ci pomóc?)
Помощь (Мне нужна твоя помощь),Pomoc (Potrzebuję twojej pomocy)
Работа (Я ищу новую работу),Praca (Szukam nowej pracy)
Быть (Я был вчера в кино),Być (Byłem wczoraj w kinie)
Уже (Я уже закончил работу),Już (Już skończyłem pracę)
"Да; так (Да, я согласен)","Tak (Tak, zgadzam się)"
Помочь (Ты можешь мне помочь?),Pomóc (Czy możesz mi pomóc?)
Иметь (У меня сегодня много работы),Mieć (Mam dzisiaj dużo pracy)
Увидеть (До завтра!),Zobaczenie (Do zobaczenia jutro!)
Только (У меня только пять злотых),Tylko (Mam tylko pięć złotych)
Просить; пожалуйста (Я прошу о помощи),Prosić (Proszę o pomoc)
Тема (Это интересная тема),Temat (To ciekawy temat)
Несколько (У меня несколько вопросов),Kilka (Mam kilka pytań)
Ещё (Я хочу ещё один кофе),Jeszcze (Chcę jeszcze jedną kawę)
Этот (Этот фильм отличный),Ten (Ten film jest świetny)
"Если (Если у тебя будет время, позвони)","Jeśli (Jeśli będziesz miał czas, zadzwoń)"
Тоже (Я тоже так думаю),Też (Też tak myślę)
Согласно (Согласно плану),Zgodnie (Zgodnie z planem)
Номер (Какой у тебя номер телефона?),Numer (Jaki jest twój numer telefonu?)
Слово (Я не знаю этого слова),Słowo (Nie znam tego słowa)
"Минута (Сейчас вернусь, одна минута!)","Minuta (Zaraz wracam, jedna minuta!)"
Я (Я — Анджей),Ja (Ja jestem Andrzej)
Что-то (Хочешь что-то выпить?),Coś (Chcesz coś do picia?)
Пожелание (Моё желание исполнилось),Życzenie (Spełniło się moje życzenie)
Проблема (У меня проблема с компьютером),Problem (Mam problem z komputerem)
Случай; раз (Раз в неделю хожу в бассейн),Raz (Raz w tygodniu chodzę na basen)
Время (У меня нет времени),Czas (Nie mam czasu)
Хотеть (Я хочу выучить польский),Chcieć (Chcę nauczyć się polskiego)
Основа (Это основа хорошего предложения),Podstawa (To podstawa dobrego zdania)
Год (Мне двадцать пять лет),Rok (Mam dwadzieścia pięć lat)
Ресторан (Этот ресторан хороший),Restauracja (Ta restauracja jest dobra)
Поговорить (Я хочу с тобой поговорить),Porozmawiać (Chcę z tobą porozmawiać)
Какой-то (У меня есть какая-то идея),Jakiś (Mam jakiś pomysł)
Человек (Этот человек приятный),Osoba (Ta osoba jest miła)
Фамилия (Какая у тебя фамилия?),Nazwisko (Jakie jest twoje nazwisko?)
Дом (Я живу в большом доме),Dom (Mieszkam w dużym domu)
Спросить (Я хочу тебя кое-что спросить),Zapytać (Chcę cię o coś zapytać)
Час (Который час?),Godzina (Która jest godzina?)
Свой (У меня есть свой собственный ключ),Swój (Mam swój własny klucz)
Экзамен (Я сдал экзамен по польскому),Egzamin (Zdałem egzamin z polskiego)
Сделать (Что ты сегодня сделаешь?),Zrobić (Co dzisiaj zrobisz?)
Благодарить (Я благодарю за помощь),Dziękować (Dziękuję za pomoc)
Магазин (Я иду в магазин),Sklep (Idę do sklepu)
Квартира (Я снимаю квартиру в Гданьске),Mieszkanie (Wynajmuję mieszkanie w Gdańsku)
Информация (Мне нужно больше информации),Informacja (Potrzebuję więcej informacji)
Когда (Когда ты приедешь?),Kiedy (Kiedy przyjedziesz?)
Ошибка (Я сделал ошибку в предложении),Błąd (Zrobiłem błąd w zdaniu)
Пример (Приведи мне пример),Przykład (Podaj mi przykład)
Форма (Это новая форма упражнения),Forma (To nowa forma ćwiczenia)
Купить (Я купил новый телефон),Kupić (Kupiłem nowy telefon)
"Знать (Я не знаю, где это)","Wiedzieć (Nie wiem, gdzie to jest)"
Знать (Я знаю эту песню),Znać (Znam tę piosenkę)
Задание (У меня сложное домашнее задание),Zadanie (Mam trudne zadanie domowe)
Высказывание (Твоё высказывание было интересным),Wypowiedź (Twoja wypowiedź była ciekawa)
Написать (Я написал письмо другу),Napisać (Napisałem list do przyjaciela)
Спрашивать (Я люблю спрашивать о разных вещах),Pytać (Lubię pytać o różne rzeczy)
Подробность (Расскажи мне больше подробностей),Szczegół (Opowiedz mi więcej szczegółów)
Наверняка (Я обязательно приду),Pewno (Na pewno przyjdę)
Также (Я также благодарю),Również (Ja również dziękuję)
"Конечно (Конечно, я тебе помогу)","Oczywiście (Oczywiście, że ci pomogę)"
"Один (Один кусок торта, пожалуйста)",Jeden (Jeden kawałek ciasta poproszę)
Завтра (Мы встретимся завтра),Jutro (Spotkamy się jutro)
Связь (Это не имеет отношения к теме),Związek (To nie ma związku z tematem)
Срок (Какой срок сдачи работы?),Termin (Jaki jest termin oddania pracy?)
Сегодня (Сегодня прекрасная погода),Dziś (Dziś jest piękna pogoda)
День (Добрый день!),Dzień (Dzień dobry!)
Кто (Кто это?),Kto (Kto to jest?)
Охотно (Я охотно тебе помогу),Chętnie (Chętnie ci pomogę)
Всегда (Ты всегда добр),Zawsze (Zawsze jesteś miły)
Чем; что (Что ты делаешь?),Co (Co robisz?)
Выбрать (Я выбрал интересный курс),Wybrać (Wybrałem interesujący kurs)
Забронировать (Я забронировал столик в ресторане),Zarezerwować (Zarezerwowałem stolik w restauracji)
Ребёнок (У меня маленький ребёнок),Dziecko (Mam małe dziecko)
Как; в качестве (Я работаю учителем),Jako (Pracuję jako nauczyciel)
Адрес (Дай мне свой адрес),Adres (Podaj mi swój adres)
Мы (Мы едем в отпуск),My (My jedziemy na wakacje)
Страница (Открой пятую страницу),Strona (Otwórz stronę piątą)
Способ (Это хороший способ учиться),Sposób (To dobry sposób nauki)
Содержать (Эта книга содержит много информации),Zawierać (Ta książka zawiera wiele informacji)
Однако (Однако я решил поехать),Jednak (Jednak zdecydowałem się pojechać)
Кухня (Я люблю готовить на новой кухне),Kuchnie (Lubię gotować w nowej kuchni)
Место (Это место красивое),Miejsce (To miejsce jest piękne)
Город (Гданьск — красивый город),Miasto (Gdańsk to piękne miasto)
Вечер (Добрый вечер!),Wieczór (Dobry wieczór!)
Часто (Я часто хожу гулять),Często (Często chodzę na spacer)
Зрение; видеть (Я вижу красивый вид из окна),Widzieć (Widzę piękny widok z okna)
Удовольствие (Это было удовольствие),Przyjemność (To była przyjemność)
День рождения (Я праздную день рождения в июне),Urodzinać (Obchodzę urodziny w czerwcu)
Коллега (ж) (Моя коллега из Польши),Koleżanka (Moja koleżanka jest z Polski)
Новый (У меня новая машина),Nowy (Mam nowy samochód)
Билет (Я купил билет в кино),Bilet (Kupiłem bilet do kina)
Фирма (Я работаю в маленькой фирме),Firma (Pracuję w małej firmie)
Понимать (Я понимаю по-польски),Rozumieć (Rozumiem po polsku)
Где (Где ближайшая остановка?),Gdzie (Gdzie jest najbliższy przystanek?)
Текст (Прочитай этот текст),Tekst (Przeczytaj ten tekst)
Блюдо; дать (Дашь мне свой номер?),Dać (Dasz mi swój numer?)
Бронирование (У меня бронь на сегодня),Rezerwacja (Mam rezerwację na dziś)
Они; он (Он мой друг),On (On jest moim przyjacielem)
Поездка (Я планирую поездку в Польшу),Wyjazd (Planuję wyjazd do Polski)
Повод (Это хороший повод),Okazja (To dobra okazja)
Телефон (Позвони на мой телефон),Telefon (Zadzwoń na mój telefon)
Такой (Такая машина мне нравится),Taki (Taki samochód mi się podoba)
Звонить (Я звоню тебе вечером),Dzwonić (Dzwonię do ciebie wieczorem)
Организовать (Я организовал вечеринку),Zorganizować (Zorganizowałem przyjęcie)
Язык (Я учу польский язык),Język (Uczę się języka polskiego)
Заказать (Я заказал пиццу),Zamówić (Zamówiłem pizzę)
Возможность (У меня есть возможность удалённой работы),Możliwość (Mam możliwość pracy zdalnej)
На самом деле (Ты правда так думаешь?),Naprawdę (Naprawdę tak myślisz?)
Который (Какой фильм ты хочешь посмотреть?),Który (Który film chcesz obejrzeć?)
"Подписать (Подпиши здесь, пожалуйста)","Podpisać (Podpisz tutaj, proszę)"
Пункт (Сделаем второй пункт),Punkt (Zróbmy punkt drugi)
Себя (Я забочусь о себе),Siebie (Dbam o siebie)
Езда (Езда на машине удобна),Jazda (Jazda samochodem jest wygodna)
Поехать (Мы поехали на море),Pojechać (Pojechaliśmy nad morze)
Подать (Можешь передать мне соль?),Podać (Czy możesz podać mi sól?)
Мой (Это моя собака),Mój (To mój pies)
Имя (Меня зовут Анджей),Imię (Mam na imię Andrzej)
Адресат (Адресат этого письма — Ян),Adresat (Adresat tego listu to Jan)
Улица (Я живу на улице Длугой),Ulica (Mieszkam przy ulicy Długiej)
Разговор (У меня был интересный разговор),Rozmowa (Miałem ciekawą rozmowę)
"Вне; кроме (Кроме того, всё в порядке)","Poza (Poza tym, wszystko jest w porządku)"
Фильм (Я смотрю интересный фильм),Film (Oglądam ciekawy film)
Визит (У меня визит к врачу),Wizyta (Mam wizytę u lekarza)
Приглашение (Я получил приглашение на свадьбу),Zaproszenie (Dostałem zaproszenie na ślub)
Выбор (У тебя трудный выбор),Wybór (Masz trudny wybór)
Море (Балтийское море холодное),Morze (Morze Bałtyckie jest zimne)
Путешествие (Поездка на поезде длится три часа),Podróż (Podróż pociągiem trwa trzy godziny)
"Надежда (Я надеюсь, что сдам экзамен)","Nadzieja (Mam nadzieję, że zdam egzamin)"
Извинить (Извините за опоздание),Przepraszać (Przepraszam za spóźnienie)
Тогда (Тогда я был в школе),Wtedy (Wtedy byłem w szkole)
Оборот (Этот оборот сложный),Zwrot (Ten zwrot jest trudny)
Описание (Дай описание своей квартиры),Opis (Podaj opis swojego mieszkania)
Набор (Я купил набор для учёбы),Zestaw (Kupiłem zestaw do nauki)
Принять (Я принял приглашение),Przyjąć (Przyjąłem zaproszenie)
Совет (Мне нужен твой совет),Rada (Potrzebuję twojej rady)
Недавно (Недавно я был в театре),Ostatnio (Ostatnio byłem w teatrze)
Кинотеатр (Мы идём в кино в пятницу),Kino (Idziemy do kina w piątek)
Изменить (Я сменил работу),Zmienić (Zmieniłem pracę)
Парк (Я гуляю в парке),Park (Spaceruję w parku)
Неделя (Через неделю еду в Варшаву),Tydzień (Za tydzień jadę do Warszawy)
"Взять (Возьми зонт, идёт дождь)","Wziąć (Weź parasol, pada deszcz)"
Состояние; встать (Он встал посередине комнаты),Stanąć (Stanął na środku pokoju)
Деньги (У меня мало денег),Pieniądz (Mam mało pieniędzy)
Отлично (Ты отлично справляешься!),Świetnie (Świetnie sobie radzisz!)
